"","Model","n.wai.missing","n.wbc.missing","Strong1","Strong2","Strong3","Strong4","Strong5"
"66","LASSO",0,0,6.62738521092792,4.83789327663716,4.82634281007462,4.7327481549993,4.92522935878955
"67","Stepwise",0,0,6.22042071635746,4.83594326123445,4.60463482202411,4.88510787139528,4.76340528347333
"68","LASSO",0,0,6.39560156513157,4.54397418742482,4.58137057244841,4.6029036731103,4.82226649006699
"69","Stepwise",0,0,6.40368664194682,5.02892542067696,5.04039876468728,4.95360274136064,4.94750309394043
"70","LASSO",0,0,6.09475158484973,4.86467663127056,4.8435351804133,4.7340291661434,4.84130056223666
"71","Stepwise",0,0,5.73780406810851,5.0297766856416,4.99370599045512,5.26926844546978,5.12132472351466
"72","LASSO",0,0,6.44968306955383,5.06153563825121,4.9229939302784,5.01910110239791,4.92693087989202
"73","Stepwise",0,0,6.81329561486028,4.88651208964607,5.0926153248563,5.05485554398518,4.83283616817719
"74","LASSO",0,0,6.63482439323276,4.84120958746153,4.98097890237653,4.93098401496763,4.60148802040434
"75","Stepwise",0,0,6.42700074024044,4.96350701793675,5.01919744924099,4.91851544279158,4.78152452889601
"76","LASSO",0,0,6.44998151941981,4.66593083645902,4.87201017424563,4.81888882274028,4.79438824584125
"77","Stepwise",0,0,6.78190489009633,4.80278865301157,4.81944830995995,5.04313906021982,5.17914233320666
"78","LASSO",0,0,6.49443826213701,4.46094269796754,4.68454116109076,4.94223072456989,4.80799893490445
"79","Stepwise",0,0,6.84570488674873,5.00030107457607,5.22345193819114,4.70826208666095,5.05596602808013
"80","LASSO",0,0,6.66225179362017,4.7229941461076,4.88185788935797,4.50757957219439,5.00974787603439
"81","Stepwise",0,0,5.97645104072561,4.96940422012745,5.11661919132676,5.11436910496619,4.8975689419598
"82","LASSO",0,0,5.8215230013526,4.8005110741967,4.80336961647537,4.87206911696554,4.86003158086041
"83","Stepwise",0,0,5.81994660967001,5.19421066675911,4.87722853741144,4.88678074558714,4.93834698292086
"84","LASSO",0,0,6.62137629348048,5.03250627413225,4.62142116103785,4.73916489887623,4.73914276703355
"85","Stepwise",0,0,6.66022630186196,4.97043828660403,4.63737412890381,4.73573740765653,5.10824030559597
"86","LASSO",0,0,6.28572540126975,4.86763376018397,4.35620995691065,4.32309943640874,5.10707022822657
"87","Stepwise",0,0,6.30348387820248,4.95721734789761,4.9714444967565,4.96302061827045,4.87989013109301
"88","LASSO",0,0,6.3069607906108,4.84210634431884,4.90441604732927,4.67426197660636,4.74391839595681
"89","Stepwise",0,0,6.81825849818646,4.91374022698974,4.8434384119755,5.19502186559587,4.7666545004145
"90","LASSO",0,0,6.57781459356864,4.52559607072302,4.70110862845423,4.96176311357089,4.53728795099571
"91","Stepwise",0,0,6.65029471322342,5.01693576103692,4.90419827479696,4.89542197732815,5.12459066505594
"92","LASSO",0,0,6.57131160123058,4.83978599161645,4.89778669566257,4.8634083881704,4.84392120650418
"93","Stepwise",0,0,5.60086538537232,5.13783878810069,4.87213985042264,5.19386859635567,5.32163194299198
"94","LASSO",0,0,6.24724851581679,4.73621886551971,4.89829891490241,4.95001919715792,4.82186495062914
"95","Stepwise",0,0,6.57216122673866,4.80658676796475,4.82407903835303,5.04798811405391,4.78374829340211
"96","LASSO",0,0,6.50987941400107,4.84743867652229,4.75470157989809,4.73663209102064,4.59775902832736
"97","Stepwise",0,0,6.57530443707582,5.12577629374087,5.28510360186699,5.15353112304199,5.06440805270752
"98","LASSO",0,0,6.52684667725375,4.8394393469116,5.15597843344958,5.00155606412246,4.91899502258822
"99","Stepwise",0,0,6.85897173943379,4.85437947807028,5.05174078235835,5.17056538947887,4.80135981006631
"100","LASSO",0,0,6.41673346833386,4.76920310917289,4.87384474039021,4.95025811589287,4.47775780032451
"101","Stepwise",0,0,6.37901938912506,5.31987725055919,5.06068817384604,4.76215648453272,4.88172250187638
"102","LASSO",0,0,6.41432150937225,4.94962060740882,4.82880083101216,4.42248228702109,4.73622093031774
"103","Stepwise",0,0,6.71424517714218,4.94091091238522,5.12543811265864,4.80345103934497,5.03763672300131
"104","LASSO",0,0,6.4189303643817,4.89356651261108,5.03561030505314,4.50889376657523,4.67587840254673
"105","Stepwise",0,0,6.78731614561706,5.28626559236243,4.85903182414053,5.06656657765301,5.01458819416831
"106","LASSO",0,0,6.37579398230634,5.15381406329695,4.95644615146048,4.61606919010672,4.84539176954977
"107","Stepwise",0,0,5.47106288050542,4.89758647658319,4.98139908633348,5.1195239971676,5.17740490263395
"108","LASSO",0,0,6.15093066040423,4.6886830590043,4.79701634972793,4.944932286409,4.88476175357064
"109","Stepwise",0,0,6.29451715552176,5.1821458659529,4.72604438840817,4.86153887397295,4.98981992227425
"110","LASSO",0,0,5.93889333166968,4.88376887400453,4.5756409639425,4.43928976288151,4.6893469316196
"111","Stepwise",0,0,6.29586189790063,5.1220042420708,4.92461199070022,4.9862847918874,5.40134592801776
"112","LASSO",0,0,6.3217515315123,4.94201197421345,4.77213714605499,4.89110665439427,5.27124047516381
"113","Stepwise",0,0,6.28000597907627,5.16494949755828,4.94045784313782,4.84607946178614,5.08126086605302
"114","LASSO",0,0,6.58976555254877,4.84398869429667,4.77986870695331,4.81491117498026,4.8412304773079
"115","Stepwise",0,0,6.11339961005226,5.21493527180951,4.66219750581187,5.17775419849378,4.93165487258852
"116","LASSO",0,0,6.36313883811816,5.08712520372383,4.61837997476365,4.98593758612434,4.79971906635992
"117","Stepwise",0,0,5.63285350952782,5.11276654564118,4.90472358843932,4.93176752725564,4.98746977054529
"118","LASSO",0,0,6.45256107471071,4.93768322862075,4.87918191021546,4.89065052037693,4.71174310972573
"119","Stepwise",0,0,6.78221072530484,4.47586783598469,5.26550991627544,4.95085546451234,5.07289363319387
"120","LASSO",0,0,6.58309551022699,4.4886089735195,5.04696859419649,4.70621551410445,4.79992632315957
"121","Stepwise",0,0,6.74546695192989,5.07500346944541,4.797652300135,5.22078979034833,5.0513918636417
"122","LASSO",0,0,6.45673410468245,4.89262713112193,4.43834420512051,5.17952201785134,4.77381498915368
"123","Stepwise",0,0,6.65466455840426,5.17365439263205,4.85547451727682,4.89835704365798,5.29009211199709
"124","LASSO",0,0,6.41925668682008,4.97368015771568,4.7404396550453,4.74896232689518,5.17284456321514
"125","Stepwise",0,0,6.45989058385086,5.35619365201433,5.08042845694768,5.19098544531952,4.73255396907594
"126","LASSO",0,0,6.59295626541279,5.25338731743385,5.00587180505628,5.0286864018387,4.66684844188666
"127","Stepwise",0,0,5.80731598229278,4.69039064448942,4.76200865383637,4.89876412254968,5.20560726212344
"128","LASSO",0,0,6.56397621908463,4.64107694406872,4.47909836259577,4.7330494282555,4.94513109133001
"129","Stepwise",0,0,6.13461941556981,5.01683142460614,4.97722077943886,4.85303501001853,4.69489908659667
"130","LASSO",0,0,6.22182836348345,4.78426583828016,4.79206585635892,4.65104088200532,4.64736498575551
"131","Stepwise",0,0,6.50163496277416,4.95405823025753,4.99043770462857,5.12257027782389,5.13804380793648
"132","LASSO",0,0,6.17136847665479,4.8409989261718,4.71891263523278,4.97836846445344,4.70622968476583
"133","Stepwise",0,0,6.75635182602793,4.90225718220902,4.79806238725494,4.87753140300036,5.29143897395649
"134","LASSO",0,0,6.59884116935072,4.73348781719793,4.66085209221001,4.83722247302588,5.13269119523698
"135","Stepwise",0,0,6.5604925955907,5.10854639883429,5.09594200010671,4.87535157359744,4.90059961738881
"136","LASSO",0,0,6.4718714191682,4.92974043137976,4.79892365854822,4.65220576244847,4.65301348039319
"137","Stepwise",0,0,6.45558518617125,5.30701201998062,5.05887283438599,5.09260840549649,5.10021776182124
